dealer_id,dealer_code,dealer_name,city,state,region,dealer_type,created_date,is_active,email,phone,credit_terms_days
1,dlr-00001,coimbatore auto parts - 1,coimbatore,tn,south,retail,2024-08-11 00:00:00,true,dealer1@example.com,+91-9855165986,30
2,dlr-00002,visakhapatnam auto parts - 2,visakhapatnam,ap,south,retail,2024-07-08 00:00:00,true,dealer2@example.com,+91-9873220829,0
3,dlr-00003,new delhi auto parts - 3,new delhi,dl,north,wholesale,2024-04-14 00:00:00,true,dealer3@example.com,+91-9858395690,15
4,dlr-00004,kochi auto parts - 4,kochi,kl,south,retail,2024-07-31 00:00:00,true,dealer4@example.com,+91-9026574735,0
5,dlr-00005,noida auto parts - 5,noida,up,north,retail,2024-05-08 00:00:00,true,dealer5@example.com,+91-9143969704,45
6,dlr-00006,bengaluru auto parts - 6,bengaluru,ka,south,retail,2023-10-30 00:00:00,true,dealer6@example.com,+91-9924370396,30
7,dlr-00007,bengaluru auto parts - 7,bengaluru,ka,south,retail,2025-08-25 00:00:00,true,dealer7@example.com,+91-9339737063,30
8,dlr-00008,bhubaneswar auto parts - 8,bhubaneswar,or,east,retail,2024-01-23 00:00:00,true,dealer8@example.com,+91-9674471794,30
9,dlr-00009,nagpur auto parts - 9,nagpur,mh,west,wholesale,2023-08-18 00:00:00,true,dealer9@example.com,+91-9674926360,45
10,dlr-00010,kochi auto parts - 10,kochi,kl,south,retail,2023-04-08 00:00:00,true,dealer10@example.com,+91-9805839586,15
11,dlr-00011,ahmedabad auto parts - 11,ahmedabad,gj,west,retail,2023-10-18 00:00:00,true,dealer11@example.com,+91-9396083138,30
12,dlr-00012,kolkata auto parts - 12,kolkata,wb,east,retail,2023-09-27 00:00:00,true,dealer12@example.com,+91-9909292972,60
13,dlr-00013,bengaluru auto parts - 13,bengaluru,ka,south,retail,2025-10-17 00:00:00,true,dealer13@example.com,+91-9935648051,15
14,dlr-00014,new delhi auto parts - 14,new delhi,dl,north,retail,2025-03-25 00:00:00,true,dealer14@example.com,+91-9242909733,60
15,dlr-00015,mysuru auto parts - 15,mysuru,ka,south,wholesale,2024-09-25 00:00:00,false,dealer15@example.com,+91-9343755909,30
16,dlr-00016,visakhapatnam auto parts - 16,visakhapatnam,ap,south,wholesale,2025-07-28 00:00:00,true,dealer16@example.com,+91-9207093849,30
17,dlr-00017,mysuru auto parts - 17,mysuru,ka,south,retail,2025-10-30 00:00:00,true,dealer17@example.com,+91-9305169545,45
18,dlr-00018,bhubaneswar auto parts - 18,bhubaneswar,or,east,shop,2024-07-11 00:00:00,true,dealer18@example.com,+91-9803805383,30
19,dlr-00019,kochi auto parts - 19,kochi,kl,south,retail,2025-06-09 00:00:00,false,dealer19@example.com,+91-9913135360,45
20,dlr-00020,hyderabad auto parts - 20,hyderabad,tg,south,retail,2024-03-14 00:00:00,true,dealer20@example.com,+91-9143034094,30
21,dlr-00021,new delhi auto parts - 21,new delhi,dl,north,wholesale,2023-04-26 00:00:00,true,dealer21@example.com,+91-9045191366,30
22,dlr-00022,ahmedabad auto parts - 22,ahmedabad,gj,west,retail,2025-10-22 00:00:00,true,dealer22@example.com,+91-9728020343,45
